Questions,Correct,A,B,C,D
"Of all of the Postulates of Euclid, one stood out as a big sticking point. To this day it involves such things as space travel, physics, and triangles. Which postulate was it?", 5,2,3,4,5
"We all know what acute angles, obtuse angles, right angles, and straight angles are, but what is a reflex angle?", An angle greater than 180 degrees but less than 360 degrees.,The angle a telescope makes with the Earth,An angle greater than 180 degrees but less than 360 degrees.,Any angle greater than 360 degrees,The angle you need to look a fish in the eye.
"If a woman has these pains, they almost always disappear when she becomes pregnant.", Arthritic pains,Stomach aches,Neural pains,Arthritic pains,Migraine pains
This organ expands up to 500 times its normal size during the pregnancy., The uterus,The stomach,The uterus,The ovaries,The bladder
During this month of the pregnancy women go through a lot of mood swings like being easily irritated or start crying when they hear a song on the radio., 1st month,7th month,1st month,9th month,4th month
The fingerprints of the baby begin forming in this week of pregnancy. The baby also starts grasping and sucking its thumb at this time., 18th,21st,35th,18th,10th
"This common side effect is caused by the hormone, progesterone, which relaxes the valve that separates your esophagus from your stomach, allowing gastric acids to seep back up, which causes this uncomfortable sensation.", Heartburn,Heartburn,Back pain,Constipation,Nausea
After week 27 you can do the following experiment: switch on a flashlight against your belly and the baby will move towards the light.   What allows this to happen?, it opens its eyes,its head can move,its hearing started functioning,its brain started growing quickly,it opens its eyes
"During pregnancy the following symptoms happen to what part of the body: grow larger, tender, swollen, and darkened areolas.", Breast,Hands,Breast,Stomach,Face
A common complaint among pregnant women are swollen legs.  Feet actually swell because of this., Water retention,Tight Shoes,Constipation,Indigestion,Water retention
During what period does your sleep become almost impossible and interrupted., The third trimester,The second trimester,The first month of the pregnancy,The first trimester,The third trimester
"During the last period of the pregnancy, the fetus drops towards the opening of the pelvis and this part of the body changes its shape.", The abdomen,The hips,The abdomen,The breasts,The uterus
The human facial skull consists of double as well as single bones. Which of the following bones is not a facial bone?, Calcaneus,Zygomatic bone,Calcaneus,Vomer bone,Mandible
"What is the other name for the Achilles tendon, which acts as a connection between the calf and the heel in humans?", Calcaneal tendon,Glenohumeral joint,Calcaneal tendon,Teres major,Chordae tendinae
When the arm is bent in the elbow joint humans use the biceps branchii musle and the triceps is used when it is extended. What is the name of the muscle that abducts the arm in the shoulder?, Deltoid muscle,Teres minor muscle,Deltoid muscle,Latissimus dorsi muscle,Pectoralis major
"What is the function of the thalamus, a part of the human brain with an egg-like shape?", It deals with the various types of sensory information.,It deals with the various types of sensory information.,It regulates the organisms automatic functions.,It helps humans to keep their balance.,It is not known.
"The extrapyramidal system in human brain, which consists of related neurons is not responsible for what?", The aural memory,Decrease of the erratic motions,Muscle tone,Stability of the human body,The aural memory
"This gland, located in the base of the human skull, is the central gland in the endocrine regulation and is as large as a pea.", The pituitary gland,The thyroid gland,The thymus,The pituitary gland,Erbers gland
"What are the main components of the stomach juice, which is secreted by gastric glands?"," Hydrochloric acid, enzymes and mucus",Enzymes and hydrochloric acid,Mucus and hydrochloric acid,"Hydrochloric acid, enzymes and mucus",Enzymes and lymph
Pathogenic microorganisms which get into the human body are called antigens because they cause the formation of antibodies. The antibodies are produced by what blood cells?, Lymphocites,Keratinocytes,Lymphocites,Thrombocytes,Erythrocytes
"Cryptozoology is a branch of Zoology, which deals with what?", Animals that are considered to exist but there is no proof for their existence,The animals in the order Acarina - mites and ticks,Marine animals,Spiders and arachnids,Animals that are considered to exist but there is no proof for their existence
"Which term denotes the classification of organisms, based on their evolutionary descent?", Phylogenetics,Ornithology,Neuroethology,Paleontology,Phylogenetics
"This ancient Greek philosopher, who taught Alexander the Great, wrote a book on zoology entitled History of Animals.", Aristotle,Aristotle,Plato,Socrates,Democritus
"The term ethology, which refers to the study of animal behaviour, derives from a Greek word, which means what?", Custom,Behaviour,Custom,Life cycle,Environment
"What is the literal meaning of the word ecology, which derives from Greek?", study of the household,study of life,None of these,study of the household,study of nature
"What is the definition of the biological term ecotone, which in Greek means a place where ecologies are in tension?", A transition area between two adjacent ecological communities,A transition area between two adjacent ecological communities,"A natural unit that consists both of living and nonliving parts, interacting to form a stable system",Graphical representation of an ecosystem,Separation of groups of organisms as a result of changes in their ecology or in the environment where they live
"What biological term refers to the organs, whose function is considered to have been lost or reduced during evolution?", Vestigial organs,Undeveloped organs,Obsolete organs,Vestigial organs,Stunted organs
"What is the definition of ontogeny (morphogenesis), one of the branches of developmental biology?", A study that describes the organism from the embryo to adulthood,The study that deals with the relations between predators and their prey,A study that describes the organism from the embryo to adulthood,The relationships of groups of  organisms as reflected by their evolutionary history,The study that deals with the marine mammals
"The formation of toes in salamanders, animals that typically have no such organs, is an example for what?", Atavism,Atavism,Biometry,Disturbance,Biota
"This Swedish botanist and physician, considered one of the fathers of modern ecology, initiated the method of binomial classification.", Carolus Linnaeus,Alfred Nobel,Carolus Linnaeus,Nils Gabriel Sefstrom,Johan August Arfwedson
"The word physics derives from the Greek - φ?σις (phusis), which means this.", Nature,Nature,Earth,Matter,Force
One of these major subtopics is not part of classical mechanics., Kinetic theory,Chaos theory,Kinetic theory,Lagrangian mechanics,Fluid dynamics
Law of Inertia is also referred to as this., Newtons First Law,Newtons First Law,Newtons Third Law,Fundamental law of dynamics,Newtons Second Law
Plancks constant (h) is equal to this., 6.626068 × 10^(-34) m^2 kg / s,6.626068 × 10^(-34) m^2 kg / s,1.67262171 x 10^(-27) kg,1.05457168 x 10^(-34) J s,10973731.568 525 m^(-1)
This is the number of fundamental interactions., 4,4,2,8,6
These two additive primary colors should be combined in order to get the color yellow., Green and red,Green and red,Blue and green,White and red,Red and blue
"Which of these most accurately describes the term, Solar System?", The planetary system which our Sun along with the nine planets and other non-stellar objects form,A system of non-stellar objects orbiting a star,A system comprised of a star or group of stars,"A system of one or more stars and non-stellar objects, connected in close gravitational association",The planetary system which our Sun along with the nine planets and other non-stellar objects form
"Contrary to this celestial bodys true nature, the term asteroid means what according to its greek origins?", Star-like,Cone-shaped,Planet-like,Drifting freely,Star-like
"Where can an asteroid belt, a region of greatest concentration of orbiting asteroids, be found nearest to Earth?", Between Mars and Jupiter,Between Jupiter and Saturn,Between Mars and Jupiter,Between Uranus and Neptune,Beyond Pluto
