Questions,Correct,A,B,C,D
How fast is a mile a minute?,D,The speed of the fastest human runner,60 kilometers and hour,60 yards an hour,60 miles an hour
"The Shaanxi earthquake is regarded as the deadliest recorded earthquake, killing approximately 830,000 people. It occurred on February 14, 1556 in this country.",D,Thailand,Japan,Russia,China
Teleseisms are ground motions caused by a distant earthquake.,B,False,True,,"Q The theory of plate tectonics explains the movement of lithospheric plates. Tectonics comes from the Greek word tekton, meaning this."
"Earthquakes that occur at the boundaries of tectonic plates are called interplate. The less frequent type of earthquakes, called this, occur in the interior of the lithospheric plates.",D,Innerplate,Non-interplate,Ultraplate,Intraplate
"The Good Friday Earthquake, which occurred on March 27, 1964, is the most powerful earthquake in U.S. history. It killed approximately 13,000 people.",A,False,True,,Q The Mercalli scale classifies the intensity of earthquakes by examining this aspect.
The San Francisco earthquake is one of the most ill-famed earthquakes in history.  It happened in this year.,D,1908,1916,1910,1906
"Seismic waves are classified in four types - P-waves (primary), S-waves (secondary), Love waves (surface waves) and this type.",C,F-waves,L-waves,Rayleigh waves,Richter waves
"This earthquake occurred on August 17, 1999, and had a magnitude of 7.4. The reported number of casualties was approximately 17,000. Where did this disaster take place?",C,China,Spain,Turkey,The United States
"The 2004 Indian Ocean earthquake was an undersea earthquake that generated a tsunami, which claimed the lives of more than 150,000 people (this is true). The earthquake lasted nearly ten minutes.",B,False,True,,Q Elder mothers have higher chances of conceiving twins.
A mother will give birth to this kind of twins if a single fertilized egg splits after conception.,A,Monozygotic twins,Dizygotic twins,Conjoined twins,Twins of two
The first recorded successful operation to separate a pair of conjoined twins took place in this year.,C,1889,1976,1689,1989
"The term Siamese twins comes from the famous case of Eng and Chang Bunker, who were conjoined twin brothers, born in Thailand in 1811.",A,True,False,,Q The chances of having twins in the 21st century are ...?
The case of identical twins of different sex is extremely rare. The development of their gender starts 5 weeks after the moment of conceiving.,B,True,False,,Q A twin fetus which does not develop during pregnancy is called this.
This celebrity had a twin brother who died at birth.,D,Madonna,Michael Jackson,Elton John,Elvis Presley
The family of Fyodor Vassilyev from Russia had a record number of children. His wife gave birth to this number of twin couples.,B,28,16,9,23
"It is said that twins develop their own language, called this.",A,Idioglossia,Sindarin,Quenya,Klingon
"If a doctor prescibes a medicine and the prescription reads, Instill 2 - 3 gtts in OD bid.  What does OD mean?",C,Left ear,Right ear,Right eye,Left eye
What color is Arterial Blood?,B,Purple,Bright Red,Reddish Purple,Dark Red
What lobe in the brain is responsible for retaining verbal memory?,B,Left Parietal Lobe,Left Temporal Lobe,Right Temporal Lobe,Right Parietal Lobe
The aorta carries deoxygenated blood from the heart to the rest of the body.,B,True,False,,Q Which of the following disorders is not of the Endocrine System?
The XY chromosome(s) determines that an embryo is developed into a baby girl.,B,True,False,,Q Which part of th eye captures light rays and converts the rays into electrical impulses?
How many vertebrae make up the thoracic region of the spinal column?,D,5,7,10,12
The ileum is located in this part of the body.,A,Small Intestine,Spinal cord,Brain,Large intestine
This country has more Internet Service Providers than any other non-English speaking country.,B,Russia,Czech republic,Romania,Brazil
"Development of a global computer network was first proposed in this year, by J.C.R. Licklider.",C,1972,1982,1962,1952
This was the first popular WWW browser. Microsofts Internet Explorer is also based on it.,C,Opera,lynx,NCSA Mosaic,Netscape Navigator
Cables are essential for the transfer of data. The first cable to transfer instantaneous communications across the ocean was laid in this year.,D,1950,1924,1908,1858
It was the Internets progenitor and the first large geographically separated network.,A,ARPANET,NSFNET,UUCP,CSNET
The first e-mail message was sent in this year by Ray Tomlinson.,D,1979,1964,1983,1971
"This person wrote HTTP, the language in which browsers and web servers communicate.",C,Steve Jobs,Bill Gates,Tim Berners-Lee,Douglas Engelbart
This is how long it took the Internet to attract 50 million users.,A,4 years,20 years,10 years,5 years
"This program pretends to be useful, while executing malicious code.",C,Logic bomb,Worm,Trojan horse,Virus
"In 1995, this famous American computer outlaw was caught while stealing electronic mail and software.  In 1996 he released the book Takedown: The Pursuit and Capture of Americas Most Wanted Computer Outlaw -- By The Man",D,Robert Morris,Vladimir Levin,Tsutomu Shimomura,Kevin Mitnick
About 95% of the rocks which form the upper part of the Earths crust are Igneous Rocks.,B,False,True,,"Q Gold carats measure purity, whereas diamond carats measure this quality."
"When magma cools and becomes solid below Earths surface, the resultant rocks are called Plutonic, but when when magma reaches the surface and crystallizes there, formed rocks are called this.",A,Volcanic,Mercuric,Surfaced,Veneric
The Lunar seas are actually plains of gabbro and this rock. The same rock is also a main component of the surface of Mars.,A,Basalt,Obsidian,Andesite,Granulite
"This moon is the most volcanic object in the solar system. Its volcanoes erupt sulfur, sulfur dioxide and silicate rock,  constantly resurfacing it.",B,Titania,Io,Ganymede,Europa
"What do we call this sequence of numbers:  1, 1, 2, 3, 5, 8, 13, 21, 34, 55 ...?",D,Lucas,Gauss,Euler,Fibonacci
What was the name of the man who invented logarithms?,B,Rene Descartes,John Napier,Blaise Pascal,Robert Recorde
Sir Isaac Newton developed his calculus and physics at what college?,B,Oxford,None,Trinity,Cambridge
Who was the teacher of Plato?,B,Thales,Socrates,Aristotle,Archimedes
Who wrote the first textbook on Geometry?,B,Thales,Euclid,Archimedes,Van Nostrand
"In order to boost their math department , the University of Virginia, a great school, imported the great British mathematician J.J. Sylvester to become a part of the school.  He  agreed.  Almost everyone loved him, his lectures, his motivational talks, etc. Everyone, except for the only student who got a C from him. Besides some lewd talk and anti-semitic rants, the student took a stump and attacked Sylvester. What happened next ?",C,The students father demanded a duel with Sylvester because he had had the student arrested. Sylvester left for France the next night.,"The student  was arrested for assault, sent to prison for three years. Sylvester returned to England physically broken.","Sylvester beat the heck out of the student. Sylvester was a good 40 older than the student, but took no guff.","After a short beating, Sylvesters students broke up the fight. Sylvester spent a month in the hospital and returned to his duties."
What sign flew over the school of Aristotle?,C,Know Thyself,Es Will De garnish helfen,Let no one unfamiliar with geometry enter,All for Knowledge
"Of all of the Postulates of Euclid, one stood out as a big sticking point. To this day it involves such things as space travel, physics, and triangles. Which postulate was it?",D,2,3,4,5
"We all know what acute angles, obtuse angles, right angles, and straight angles are, but what is a reflex angle?",B,The angle a telescope makes with the Earth,An angle greater than 180 degrees but less than 360 degrees.,Any angle greater than 360 degrees,The angle you need to look a fish in the eye.
