Questions,Correct,A,B,C,D
"This primitive shark, with a brown thin eel-like body, has six pairs of gill slits and trident-like teeth.",A,Frilled shark,Tiger shark,Bull shark,Sharpnose seven-gill shark
"This fish, which resembles the Angel fish, is recognized by its brightly coloured and patterned body, as well as by the dark band across its eyes.",A,Butterfly fish,Purple queen,Cichlid,Clown fish
"The Parrot fish, found in the Atlantic Indian and Pacific Ocean reefs, was given its name for what reason?",D,Because of the shape of its body,Because it can fly a few metres above water,Because its body is in different flashy colours,Because of its beak-like mouth
"What is the other name of Mola mola, a fish generally considered to be the most massive bony fish in the world?",B,Filefish,Ocean Sunfish,Pufferfish,Triggerfish
"When threatened, this fish, also known as balloonfish, increases in size by swallowing water or air.",B,Bowfin,Porcupinefish,Bichir,Oar fish
"The zebrafish (Girella zebra), which can be recognised by its pale body and yellow fins, is endemic to which region?",B,Amazon River Basin,Australian waters,The Caribbean,Japan waters
"The Flashlight fish, has a light-producing organ, which contains luminescent bacteria. Where is this organ located?",B,On the dorsal fin of the fish,Below the eye of the fish,Above the eye of the fish,Between the eyes of the fish
"The catfishes Physailia pellucida and Kryptopterus bicirrhis, found in the mid-waters of Southeast Asia, use what kind of camouflage?",A,Transparency,Change their colour,Mimic algae,Mimic poisonous fish
Giant Pandas eat oranges and bananas.,B,False,True,,Q Is the Giant Panda an endangered species?
The Giant Panda and which of the following serve as an Asian countrys national emblem?,A,The dragon,The Golden Lion Tamarin,The Chinese alligator,The South China Tiger
Do Giant Pandas hibernate?,A,No,Yes,,Q What is the gestation period of the Giant Panda?
This animal is the second most expensive for zoos to maintain after the Giant Panda.,B,Lion,Elephant,Giraffe,Bear
The giant pandas diet is 99% this.,D,bananas,fish,honey,bamboo
"Pandas live in the mountains in the Sichuan, Shaanxi, and Gansu provinces in this country.",C,Mongolia,Thailand,China,Korea
"At birth, pandas weigh about 4 ounces and are the size of a stick of butter. Which of these is NOT true about a newborn panda?",A,They are grey in color.,They nurse up to 14 times a day.,They are hairless.,They are blind.
Pandas do not hibernate.,B,False,True,,Q Pandas live and travel together.
"Pandas spend 10-16 hours a day eating, the rest of the time they are usually resting. When are pandas most active?",A,at dusk and at dawn,between 10am and 2pm,between 2p and 10pm,only at night
"When a panda is born, it is impossible to tell if it is male or female. How old is the panda before its gender is known?",C,3 months,1 year,4 years,6 months
Which of these is TRUE about pandas?,D,They belong to the raccoon family.,They are poor climbers.,They were unknown to the Western world until the 1600s.,They are carnivores.
How long does a panda usually live in captivity?,C,10 - 15 years,80 - 90 years,20 - 30 years,55 - 65 years
"The panda is the symbol of this conservation organization, formed in 1961.",D,Leave It Wild,The Conservation Society,The African Conservation Foundation,The World Wildlife Fund
The panda has an enlarged wristbone that works as an opposable thumb.,A,True,False,,Q Pandas are known to roar.
"In the 1930s movie King Kong, the giant ape battles a pterodactyl.",B,False,True,,Q How many stomachs does a starfish have?
A starfish cannot regenerate a lost arm.,B,True,False,,Q All starfish have 5 arms.
In which country is the Gohongaze Starfish considered an edible delicacy?,D,China,Italy,New Zealand,Japan
Starfish are capable of both asexual and sexual reproduction.,A,True,False,,Q Starfish are fast moving creatures.
A starfish is a type of fish.,B,True,False,,Q There are two classes of starfish. Name them.
Which of these is not a relative of the starfish?,D,Sea Urchin,Sea Cucumber,Sand Dollar,Sea Horse
What is located on the end of every arm of a starfish?,C,Ear,Whisker,Eye,Mouth
Scorpions are active at night in order to avoid which of their predators?,C,Mice,Lizards,All of these,Centipedes
"Raccoons are usually nocturnal animals, and they are famous for dousing their food before eating it. This is actually an activity that imitates foraging for food at shores. What is the term for such an activity?",A,Vacuum activity,Vain activity,All of these,False activity
What sense helps kiwis find food in the dark?,B,All of these,Sense of smell,Eyesight,Hearing
"Kakapo is a nocturnal parrot indigenous to New Zealand. Due to its resemblance to this nocturnal animal, it is also called by its name.",D,Raccoon,Cat,Rat,Owl
Mink are mainly active at night and they do not hibernate. Which of these animals is a predator of the American Mink?,A,All of these,Wolf,Owl,Coyote
What animal is the largest nocturnal prosimian on the planet?,C,Gorilla,Mantled Guereza,Aye-aye,Olive Baboon
Catfish are bony fish that are active in the nighttime. How did they get their interesting name?,A,They have barbels that remind of cat whiskers.,They like to rub against objects like cats do.,They have cat eyes.,All of these
Fireflies are known for their ability to produce light of this color.,B,Yellow,All of these,Pale red,Green
The Ocelot is a nocturnal cat that is also called by this name in certain regions.,A,All of these,McKenneys Wildcat,Jaguarete,Painted Leopard
Tapeti is a nocturnal cottontail rabbit that is indigenous to these areas.,A,Central and South America,Australia and Tasmania,South Asia,South Africa and Madagascar
What is the average speed dolphins can reach?,C,25.5 km/hr,14.5 km/hr,16.5 km/hr,38.5 km/hr
How deep can a bottlenose dolphin dive?,A,300 meters,800 meters,1250 meters,700 meters
How many different species of dolphins are there in the world?,C,15,48,32,12
Is dolphins sense of hearing superior to that of humans?,B,No,Yes,,Q How do dolphins generally sleep if they are in the wild?
Which is the smallest species of dolphin?,A,Maui Dolphin/Hectors Dolphin,The Spinner Dolphin,The Pacific White-Sided Dolphin,The Bottlenose Dolphin
Which of these statements is true about squirrels?,D,Some squirrel species are omnivorous.,Most squirrels are active in the daytime.,They cannot digest cellulose.,All of these
Which of these statements is true about the tongue of the giraffe?,B,The animal uses it as a tool to remove insects from its face.,All of these,It is about 18 inches (45 centimeters) long.,It is tough.
Which of these statements is true about elephants?,C,All of these,Their diet consists of 80% tree leaves.,They are able to digest 40% of their food.,They spend 8-10 hours a day eating.
Which of these statements is true about grasshoppers?,D,They have salivary glands.,Their digestive tract secretes digestive enzymes.,They have two antennae on their heads.,All of these
Which of these foods does the Canada goose include in its diet?,B,Green vegetation,All of these,Grains,Seaweeds
"Which of these statements is true about the digestive system of the Hoatzin, a herbivorous tropical bird?",D,All of these,It has teeth that it uses for mastication.,It has four stomachs.,It breaks down its food through bacterial fermentation.
What is the meaning of the term graminivore?,C,an animal that feeds on fruit,an animal that feeds on seaweed,an animal that feeds on grass,an animal that feeds on tree leaves
What kind of herbivorous animals are the granivores?,C,Animals that feed on buds,All of these,Animals that feed on seeds,Animals that feed on fruit
Which of these statements is true about the diet of Green iguanas?,A,All of these,Young iguanas are known to eat the feces of mature iguanas.,Wild iguanas sometimes eat bird eggs.,They are primarily herbivorous.
Which of these statements is true about the diet of the Sumatran rhinoceros?,A,It feeds mainly in the morning and before dusk.,It consumes about 220 lb (100 kg) of food daily.,All of these,Its diet is rich in protein and poor in fiber.
Which continents does the natural habitat of the jaguar span upon?,D,Europe and Africa,South America and Africa,Africa and Asia,North and South America
"The jaguars extremely powerful bite, which can pierce through a turtles shell, makes it the mammal with the strongest jaw in the animal kingdom.",A,False,True,,Q Which of the following statements is not true about the reproduction of jaguars?
How can jaguars be described in terms of social activity?,A,Solitary,Sociable,Group animals,None of these
In jaguars society only male animals hunt while females look after the cubs.,A,False,True,,Q All but one of the following activities are generally untypical for jaguars. Choose the one most natural to them.
In nature adult jaguars are apex predators in the food chain. What does this mean?,A,They are not preyed on by other predators.,They feed only on other predators.,They do not hunt on other predators.,Besides hunting they also feed on plants.
The jaguar is the national animal of which of the following countries?,A,Brasil,Nicaragua,Peru,Costa Rica
Jaguars closely resemble which other big cats in physical appearance?,D,Tiger,Cheetah,Puma,Leopard
Jaguars appearance seems to vary across regions and habitats. How do forest jaguars differ from the jaguars in open areas?,C,Forest jaguars are generally darker and larger,Forest jaguars are generally and more spotted,Forest jaguars are generally darker and smaller,Forest jaguars are generally larger and lighter in fur color
What continent does the large Griffon Vulture inhabit?,B,Asia,All of these,Europe,Africa
"What common name is used to refer to the scavenging animals, representatives of the order Opiliones?",D,Waterbugs,Sweepers,Bumblebees,Harvestmen
"What is the literal meaning of the word raccoon, which originates from the Algonquin word ahrah-koon-em and denotes a scavenging mammal?",B,One who grasps with their hand just like a human,"One who rubs, scrubs and scratches with its hands",One who eats whatever is in front of them,One who washes their hands and their food before eating
What term is mainly used in literature to refer to a group of crows?,D,A mug,A plunder,A gaggle,A murder
What term refers to the animal that is the result of crossbreeding between a male coyote and a female dog?,C,All of these,Coypup,Coydog,Dogote
What do the beetles from the genus Nicrophorus do after finding a carcass?,B,They remain right next to it and protect it violently.,They bury it.,They wait for it to decompose.,They tear it into small pieces.
What hyena species is the largest surviving on the planet?,B,Aardwolf,Spotted Hyena,Striped Hyena,Brown Hyena
"What kind of animals are the Yellow jackets, the scavenging and predatory animals belonging to the genera Vespula and Dolichovespula?",B,Flies,Wasps,All of these,Bees
"Lions may be skilled predators, but they would also eat carrion. What animal is the lions preferred food?",D,Rhinoceros,Hippopotamus,Elephant,Wildebeest
"Which of these names is commonly used for the carrion flies, belonging to the family Calliphoridae?",A,All of these,Greenbottle,Blow-flies,Cluster flies
The diet of most parrots consists of this type of food.,C,Buds,Fruit,All of these,Seeds
Which of these statements is true about the parrots breeding habits?,D,None of these,Parrots are polygamous.,Parrots are polyandrous.,Parrots are monogamous.
What is the color of the eggs of all parrot species?,A,White,Green,Multicolored,Blue
Parrots are considered the most intelligent birds on the planet along with these birds.,B,Ravens,All of these,Jays,Crows
These parrots are believed to be the best at imitating sounds and human speech.,D,Lory,Amazon Parrot,Cockatoo,African Grey Parrot
Larger parrot species have longer life spans than smaller ones. What is the average life span of a large parrot?,A,Up to 80 years,20-25 years,Up to 50 years,14-15 years
What is the predominant color in Amazon Parrots plumage?,C,Yellow,White,Green,Blue
The heaviest parrot species on the planet is the Kakapo. What is the average weight that a normal mature Kakapo can reach?,B,1.5 to 2 kg,2 to 4 kg,2.5 to 3 kg,2 to 2.5 kg
Which of these makes Cockatoos different from other parrot species?,B,They have a gall bladder.,All of these,They are not so colorful as other parrots.,They have a headcrest.
Lories and lorikeets have special tongues with brush-like tips for feeding on very small insects.,A,False,True,,Q This cat breed has a wild markings and is a crossbreed between an Asian Leopard Cat and a domestic cat.
"This old breed of cat has long fur. It originated in the Middle East, and some of its representatives have a flat face.",D,Siamese,Chinchilla,Himalayan,Persian
This hairless cat has a dog-like face and folded ears.,D,Sphynx,Donskoy,Peterbald,Ukrainian Levkoy
This large cat was is the result of crossbreeding between a domestic cat and a Jungle Cat.,A,All of these,Jungle Curl,Chausie,Mountain Cougar
This cat breed originated in Russia and has a short fluffy tail.,A,Kurilian Bobtail,Siberian,Russian Blue,Manx
This cat breed is believed to have developed naturally in China. It has short golden brown fur with the so-called broken striped pattern and a large strong body.,A,Dragon Li,Oriental Bicolour,Korat,Cymric
"What cat breed, also called the Greyhound of the cats, has no hair except for down?",C,Don Sphynx,Oriental Bicolour,Cornish Rex,Sokoke
"What cat breed has very thick short fur, large round eyes, round head and chubby cheeks?",B,Colorpoint Shorthair,British Shorthair,Selkirk Rex,European Shorthair
"This breed of cat has a round head, large round eyes and very small ears bended forward and downward.",B,American Curl,Scottish Fold,Toyger,Ussuri
This old large cat breed occurred naturally in Europe. It has waterproof thick fluffy fur and can survive very cold weather.,A,Norwegian Forest Cat,Persian,Squitten,Ragamuffin
What is the name of the communities formed by rabbits living together?,D,Herds,Schools,Flocks,Warrens
Which of these statements is true about the difference between rabbits and hares?,B,Hares live above the ground.,All of these,"Unlike rabbits, hares are born with hair and are able to see.",Hares have longer ears than rabbits.
Which of these statements is true about the digestive tract of rabbits?,B,"Their cecum, together with the large intestine, comprises about 25-30% of rabbits digestive tract.",They are hindgut digesters.,All of these,Their cecum is about 5 times bigger than their stomach.
"What is the common name of cecotropes, products of the cecum which rabbits reingest to get nutrients?",D,Rabbit pellets,False feces,All of these,Night feces
Rabbits vomit often to get rid of whatever their stomach is unable to digest.,B,True,False,,Q Which of these types of food do rabbits prefer to include  in their daily diet?
Which of these statements is true about the behavior of rabbits?,D,They are very easily startled.,They run and hide immediately when they feel threatened.,They are always alert.,All of these
What is the name used for young rabbits?,A,Kittens,Fluffles,Puppies,Conies
What are rabbits associated with in Aztec mythology?,C,Drunkenness,Parties,All of these,Fertility
What is the place of rabbits in Japanese tradition and mythology?,B,They are despised as being too timid.,They are believed to inhabit the Moon.,They are considered omnipotent.,Rabbits are not a part of Japanese mythology.
Scorpions are not found naturally in this geographical area.,C,Australia,Europe,New Zealand,All of these
"What name is used to refer to the scorpion species also known as Omdurman scorpion, and Israeli desert scorpion?",C,Bonebreaker,Windchaser,Deathstalker,Nightkiller
Scorpions are known to glow when exposed to this type of light.,D,All of these,Infrared light,Laser light,Blacklight
"What distinctive anatomical characteristic do the scorpions from the Hemiscorpiidae family possess, which makes them easily recognizable?",C,They have only four legs.,Their sting is intense red,Their body is flat and broad.,All of these
"There is a separate species of scorpions which have two tails, with a venomous sting on each tail.",B,True,False,,Q Where does the female scorpion raise its young?
Which of these statements is wrong about the reproduction of scorpions?,B,Most scorpions reproduce through parthenogenesis.,All of these,Most scorpion species are hermaphrodites.,Most scorpions reproduce asexually.
What does the diet of scorpions usually consist of?,A,Insects,All of these,Worms and maggots,Plant matter
What type of behavior is characteristic of scorpion species?,A,Photophobic behavior,Hydrophobic behavior,All of these,Phonophobic behavior
Scorpion venom is regarded as a potential source of chemicals that can be used in the treatment of this disease.,D,Autoimmune disorders,Cancer,Multiple sclerosis,All of these
"What common name is used to refer to the insects from the subfamily Triatominae, mainly found in the Americas?",A,Kissing bugs,Lollipop bugs,Microphone bugs,Pretty bugs
What is the largest extant butterfly species on the planet?,C,Rajah Brookes Birdwing,Goliath Birdwing,Queen Alexandras Birdwing,Cairns Birdwing
Why were the insects known as snakeflies given this interesting name?,C,They hiss.,They have a venomous bite.,Their body is elongated.,They have snake skin color patterns on their back.
What distinctive anatomical feature does the beetle species Trogodendron fasciculatum possess?,A,Bright yellow antennae,A green W mark on the back,Very large red eyes,Its abdomen is blue
"What does the flamboyant flower beetle, also known as striped love beetle, feed on?",B,Insects,Nectar,Blood,Carrion
"What belief about the European hornet, the largest European eusocial wasp, is widespread among the people who are afraid of it?",C,"If it stings you, youll never have children.","If it stings you on the arm or leg, that limb has to be amputated.","Three stings can kill an adult human, and seven can kill a horse.",Stinging results in deep sleep that you may never wake up from.
"To what geographical area is the Ctenomorphodes chronus, a species of stick insect, endemic?",D,All of these,Madagascar,South America,Australia
What kind of substance does the female redeye cicada prefer for laying eggs into?,C,Dead animal matter,Animal and human hair,Plant tissue,Living animal organisms
What part of their body do the insects from order Archaeognatha use to spring up into the air?,D,Antennae,Front legs,Hind legs,Tail
"What is the literal translation of the Greek word Embioptera, which denotes an order of insects, also known as webspinners?",D,Small wings,None of these,Yarn knitter,Lively wings
